Ruslan.vsk Ruslan Cal 03.csv
frame_id   3804, param1 -064, param2 -013
frame_id   3805, param1 -064, param2 -011
frame_id   3806, param1 -064, param2 -010
frame_id   3807, param1 -064, param2 -009
frame_id   3808, param1 -064, param2 -008
frame_id   3809, param1 -064, param2 -007
frame_id   3810, param1 -064, param2 -006
frame_id   3811, param1 -064, param2 -006
frame_id   3812, param1 -064, param2 -006
frame_id   3813, param1 -064, param2 -006
frame_id   3814, param1 -064, param2 -006
frame_id   3815, param1 -064, param2 -006
frame_id   3816, param1 -064, param2 -006
frame_id   3817, param1 -064, param2 -005
frame_id   3818, param1 -063, param2 -005
frame_id   3819, param1 -063, param2 -004
frame_id   3820, param1 -063, param2 -003
frame_id   3821, param1 -063, param2 -003
frame_id   3822, param1 -063, param2 -002
frame_id   3823, param1 -062, param2 -001
frame_id   3824, param1 -062, param2 -001
frame_id   3825, param1 -062, param2 -001
frame_id   3826, param1 -062, param2 -001
frame_id   3827, param1 -064, param2 -001
frame_id   3828, param1 -064, param2 -001
frame_id   3829, param1 -064, param2 -001
frame_id   3830, param1 -064, param2 -001
frame_id   3831, param1 -064, param2 -001
frame_id   3832, param1 -064, param2 -001
frame_id   3833, param1 -064, param2 -001
frame_id   3834, param1 -064, param2 -001
frame_id   3835, param1 -064, param2 -001
frame_id   3836, param1 -064, param2 -001
frame_id   3837, param1 -064, param2 -001
frame_id   3851, param1 -053, param2 -153
frame_id   3852, param1 -052, param2 -146
frame_id   3853, param1 -052, param2 -146
frame_id   3854, param1 -052, param2 -145
frame_id   3855, param1 -053, param2 -145
frame_id   3856, param1 -053, param2 -145
frame_id   3857, param1 -053, param2 -145
frame_id   3858, param1 -053, param2 -145
frame_id   3859, param1 -053, param2 -145
frame_id   3860, param1 -053, param2 -145
frame_id   3861, param1 -053, param2 -145
frame_id   3862, param1 -053, param2 -145
frame_id   3863, param1 -053, param2 -145
frame_id   3864, param1 -053, param2 -145
frame_id   3865, param1 -052, param2 -145
frame_id   3866, param1 -052, param2 -145
frame_id   3867, param1 -052, param2 -144
frame_id   3868, param1 -052, param2 -144
frame_id   3869, param1 -052, param2 -144
frame_id   3870, param1 -052, param2 -144
frame_id   3871, param1 -051, param2 -143
frame_id   3872, param1 -051, param2 -143
frame_id   3873, param1 -051, param2 -143
frame_id   3874, param1 -051, param2 -143
frame_id   3875, param1 -051, param2 -143
frame_id   3876, param1 -051, param2 -142
frame_id   3877, param1 -051, param2 -142
frame_id   3878, param1 -051, param2 -142
frame_id   3879, param1 -051, param2 -142
frame_id   3880, param1 -050, param2 -141
frame_id   3881, param1 -050, param2 -141
frame_id   3882, param1 -050, param2 -141
frame_id   3883, param1 -050, param2 -141
frame_id   3884, param1 -050, param2 -141
frame_id   3885, param1 -050, param2 -141
frame_id   3886, param1 -050, param2 -140
frame_id   3887, param1 -050, param2 -140
frame_id   3888, param1 -050, param2 -140
frame_id   3889, param1 -050, param2 -140
frame_id   3890, param1 -050, param2 -140
frame_id   3891, param1 -050, param2 -139
frame_id   3892, param1 -050, param2 -140
frame_id   3893, param1 -051, param2 -139
frame_id   3894, param1 -051, param2 -139
frame_id   3895, param1 -051, param2 -139
frame_id   3896, param1 -051, param2 -139
frame_id   3897, param1 -051, param2 -139
frame_id   3898, param1 -051, param2 -139
frame_id   3899, param1 -052, param2 -139
frame_id   3900, param1 -052, param2 -139
frame_id   3901, param1 -052, param2 -139
frame_id   3902, param1 -053, param2 -139
frame_id   3903, param1 -053, param2 -139
frame_id   3904, param1 -054, param2 -139
frame_id   3905, param1 -065, param2 -144
frame_id   3906, param1 -049, param2 -164
frame_id   3907, param1 -049, param2 -168
frame_id   3908, param1 -049, param2 -168
frame_id   3909, param1 -050, param2 -168
frame_id   3910, param1 -051, param2 -168
frame_id   3911, param1 -051, param2 -167
frame_id   3912, param1 -052, param2 -167
frame_id   3913, param1 -053, param2 -167
frame_id   3914, param1 -053, param2 -166
frame_id   3915, param1 -054, param2 -166
frame_id   3916, param1 -055, param2 -165
frame_id   3917, param1 -055, param2 -165
frame_id   3918, param1 -056, param2 -165
frame_id   3919, param1 -057, param2 -164
frame_id   3920, param1 -058, param2 -164
frame_id   3921, param1 -059, param2 -164
frame_id   3922, param1 -060, param2 -163
frame_id   3923, param1 -061, param2 -163
frame_id   3924, param1 -062, param2 -163
frame_id   3925, param1 -063, param2 -162
frame_id   3926, param1 -064, param2 -162
frame_id   3927, param1 -065, param2 -161
frame_id   3928, param1 -066, param2 -161
frame_id   3929, param1 -067, param2 -160
frame_id   3930, param1 -068, param2 -160
frame_id   3931, param1 -069, param2 -159
frame_id   3932, param1 -070, param2 -159
frame_id   3933, param1 -071, param2 -159
frame_id   3934, param1 -072, param2 -158
frame_id   3935, param1 -073, param2 -158
frame_id   3936, param1 -074, param2 -157
frame_id   3937, param1 -075, param2 -157
frame_id   3938, param1 -076, param2 -157
frame_id   3939, param1 -076, param2 -156
frame_id   3940, param1 -077, param2 -156
frame_id   3941, param1 -078, param2 -156
frame_id   3942, param1 -079, param2 -156
frame_id   3943, param1 -080, param2 -156
frame_id   3944, param1 -081, param2 -155
frame_id   3945, param1 -087, param2 -165
frame_id   3946, param1 -088, param2 -166
frame_id   3947, param1 -089, param2 -165
frame_id   3948, param1 -089, param2 -165
frame_id   3949, param1 -090, param2 -165
frame_id   3950, param1 -091, param2 -165
frame_id   3951, param1 -091, param2 -165
frame_id   3952, param1 -092, param2 -165
frame_id   3953, param1 -093, param2 -166
