Ruslan.vsk Ruslan Cal 03.csv
frame_id   3230, param1 -053, param2 -185
frame_id   3231, param1 -054, param2 -184
frame_id   3232, param1 -054, param2 -184
frame_id   3233, param1 -054, param2 -184
frame_id   3234, param1 -055, param2 -183
frame_id   3235, param1 -055, param2 -182
frame_id   3236, param1 -056, param2 -182
frame_id   3237, param1 -058, param2 -124
frame_id   3238, param1 -059, param2 -121
frame_id   3239, param1 -059, param2 -121
frame_id   3240, param1 -060, param2 -122
frame_id   3241, param1 -061, param2 -122
frame_id   3242, param1 -062, param2 -123
frame_id   3243, param1 -063, param2 -123
frame_id   3244, param1 -063, param2 -123
frame_id   3245, param1 -064, param2 -124
frame_id   3246, param1 -065, param2 -125
frame_id   3247, param1 -066, param2 -125
frame_id   3248, param1 -067, param2 -126
frame_id   3249, param1 -068, param2 -126
frame_id   3250, param1 -069, param2 -127
frame_id   3251, param1 -070, param2 -127
frame_id   3252, param1 -071, param2 -128
frame_id   3253, param1 -072, param2 -128
frame_id   3254, param1 -073, param2 -128
frame_id   3255, param1 -074, param2 -129
frame_id   3256, param1 -075, param2 -130
frame_id   3257, param1 -076, param2 -131
frame_id   3258, param1 -077, param2 -132
frame_id   3259, param1 -078, param2 -132
frame_id   3260, param1 -080, param2 -133
frame_id   3261, param1 -081, param2 -134
frame_id   3262, param1 -082, param2 -134
frame_id   3263, param1 -083, param2 -135
frame_id   3264, param1 -085, param2 -135
frame_id   3265, param1 -086, param2 -135
frame_id   3266, param1 -087, param2 -136
frame_id   3267, param1 -088, param2 -137
frame_id   3268, param1 -089, param2 -138
frame_id   3269, param1 -090, param2 -139
frame_id   3270, param1 -091, param2 -139
frame_id   3271, param1 -092, param2 -141
frame_id   3272, param1 -093, param2 -141
frame_id   3273, param1 -094, param2 -142
frame_id   3274, param1 -094, param2 -143
frame_id   3275, param1 -095, param2 -144
frame_id   3276, param1 -095, param2 -145
frame_id   3277, param1 -096, param2 -146
frame_id   3278, param1 -096, param2 -147
frame_id   3279, param1 -096, param2 -147
frame_id   3280, param1 -096, param2 -148
frame_id   3281, param1 -097, param2 -150
frame_id   3282, param1 -097, param2 -151
frame_id   3283, param1 -097, param2 -149
frame_id   3284, param1 -098, param2 -145
frame_id   3285, param1 -093, param2 -121
frame_id   3286, param1 -085, param2 -107
frame_id   3287, param1 -083, param2 -157
frame_id   3288, param1 -083, param2 -181
frame_id   3289, param1 -084, param2 -186
frame_id   3290, param1 -084, param2 -189
frame_id   3291, param1 -084, param2 -192
frame_id   3292, param1 -089, param2 -204
frame_id   3293, param1 -085, param2 -193
frame_id   3294, param1 -085, param2 -189
frame_id   3295, param1 -085, param2 -185
frame_id   3296, param1 -086, param2 -180
frame_id   3297, param1 -086, param2 -176
frame_id   3298, param1 -087, param2 -171
frame_id   3299, param1 -087, param2 -167
frame_id   3300, param1 -104, param2 -171
frame_id   3301, param1 -101, param2 -166
frame_id   3302, param1 -099, param2 -172
frame_id   3303, param1 -098, param2 -173
frame_id   3304, param1 -100, param2 -169
frame_id   3305, param1 -101, param2 -166
frame_id   3306, param1 -100, param2 -166
frame_id   3307, param1 -100, param2 -166
frame_id   3308, param1 -100, param2 -167
frame_id   3309, param1 -099, param2 -167
frame_id   3310, param1 -099, param2 -167
frame_id   3311, param1 -099, param2 -167
frame_id   3312, param1 -098, param2 -167
frame_id   3313, param1 -098, param2 -167
frame_id   3314, param1 -097, param2 -167
frame_id   3315, param1 -097, param2 -167
frame_id   3316, param1 -096, param2 -167
frame_id   3317, param1 -096, param2 -168
frame_id   3318, param1 -095, param2 -169
frame_id   3319, param1 -094, param2 -169
frame_id   3320, param1 -095, param2 -170
frame_id   3321, param1 -094, param2 -171
frame_id   3322, param1 -093, param2 -171
frame_id   3323, param1 -093, param2 -172
